MACULA_IDs	MARBLE_IDs
o010020150091	00100201500026
o010020150092 o010020150093	00100201500028
o010020150101	00100201500030
o010020150102	00100201500032
o010020150103 o010020150104	00100201500034
o010020160011	00100201600002
o010020160012	00100201600004
o010020160021	00100201600006
o010020160031	00100201600008
o010020160041	00100201600010
o010020160051	00100201600012
o010020160052	00100201600014
o010020160061	00100201600016
o010020160062	00100201600018
o010020160071	00100201600020
o010020160072	00100201600022
o010020160081	00100201600024
o010020160091	00100201600026
o010020160092	00100201600028
o010020160101	00100201600030
o010020160111	00100201600032
o010020170011	00100201700002
o010020170012	00100201700004
o010020170013	00100201700006
o010020170021	00100201700008
o010020170022	00100201700010
o010020170031	00100201700012
o010020170041	00100201700014
o010020170042	00100201700016
o010020170051	00100201700018
o010020170061	00100201700020
o010020170071 o010020170072	00100201700022
o010020170081	00100201700024
o010020170091	00100201700026
o010020170092	00100201700028
o010020170101 o010020170102	00100201700030
o010020170111 o010020170112	00100201700032
o010020170121	00100201700034
o010020170131	00100201700036
o010020180011	00100201800002
o010020180012	00100201800004
o010020180021	00100201800006
o010020180031	00100201800008
o010020180041	00100201800010
o010020180051	00100201800012
o010020180061	00100201800014
o010020180071	00100201800016
o010020180072	00100201800018
o010020180081	00100201800020
o010020180082 o010020180083	00100201800022
o010020180091	00100201800024
o010020180101 o010020180102	00100201800026
o010020180111	00100201800028
o010020180121	00100201800030
o010020180122 o010020180123	00100201800032
o010020190011	00100201900002
o010020190012	00100201900004
o010020190021	00100201900006
o010020190031	00100201900008
o010020190041	00100201900010
o010020190051	00100201900012
o010020190052	00100201900014
o010020190061	00100201900016
o010020190071	00100201900018
o010020190081	00100201900020
o010020190082	00100201900022
o010020190091	00100201900024
o010020190092	00100201900026
o010020190101	00100201900028
o010020190111	00100201900030
o010020190121	00100201900032
o010020190122	00100201900034
o010020190131	00100201900036
o010020190132	00100201900038
o010020190141	00100201900040
o010020190151	00100201900042
o010020190152	00100201900044
o010020190161	00100201900046
o010020190162	00100201900048
o010020190171	00100201900050
o010020190181	00100201900052
o010020190191 o010020190192	00100201900054
o010020190201	00100201900056
o010020190202	00100201900058
o010020190211	00100201900060
o010020190221	00100201900062
o010020190231 o010020190232	00100201900064
o010020190241	00100201900066
o010020190242	00100201900068
o010020190251	00100201900070
o010020190261	00100201900072
o010020190271	00100201900074
o010020190281 o010020190282	00100201900076
o010020200011	00100202000002
o010020200012	00100202000004
o010020200021	00100202000006
o010020200022	00100202000008
o010020200031	00100202000010
o010020200041	00100202000012
o010020200042	00100202000014
o010020200051	00100202000016
o010020200052	00100202000018
o010020200061	00100202000020
o010020200062	00100202000022
o010020200063	00100202000024
o010020200071	00100202000026
o010020200072	00100202000028
o010020200081	00100202000030
o010020200082	00100202000032
o010020200083	00100202000034
o010020200091	00100202000036
o010020200101	00100202000038
o010020200102	00100202000040
o010020200111	00100202000042
o010020200112	00100202000044
o010020200113	00100202000046
o010020200121	00100202000048
o010020200131	00100202000050
